phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
streams,1,1.9953202410106314,10000,15951.082903218992,5058.487151633894,1346.654660999775,181.49951469278,79204352,1753088,24,1415181,0,0
streams,2,4.271803737006849,10000,10962.316002733236,4438.800367729793,1342.4882069957675,121.70308557164535,84475904,7024640,35,2824582,0,0
streams,3,6.5079772470053285,10000,15968.828412530474,4510.596274060363,1566.0089130105916,174.5963018291963,82821120,5369856,46,4239070,0,0
streams,4,8.785393414000282,10000,11052.011291314515,4452.301222549291,1347.610226002871,135.94232450121012,88154112,10702848,59,5649618,0,0
streams,5,10.831918478012085,10000,16052.695400011782,4939.370259912771,1391.9088569964515,178.23601354590045,87080960,9629696,76,7065255,0,0
streams,6,13.324944719002815,10000,11129.274916244864,4049.9937022038825,1583.3739930094453,128.0660221703886,83320832,5869568,92,8474480,0,0
streams,7,15.371197098007542,10000,16685.52751418363,4932.318724916514,1418.8269870064687,186.03581811746753,84631552,7180288,105,9889049,0,0
streams,8,17.355757054014248,10000,16870.321391018442,5088.430549692386,1386.252857002546,184.26755074951512,86237184,8785920,121,11304237,0,0
streams,9,19.581626634011627,10000,12180.016532363634,4535.839470877826,1354.099796997616,137.13123434803381,88268800,10817536,135,12716532,0,0
streams,10,21.927045412012376,10000,14407.561420307753,4307.797801275244,1578.745995007921,162.88189719785154,90365952,12914688,150,14130369,0,0
streams,11,23.903426547010895,10000,17798.329896713236,5108.430673353847,1380.9745729959104,190.48639451926815,94556160,17104896,160,15545256,0,0
streams,12,26.12477602000581,10000,16879.52701084118,4540.004297118776,1565.8577940048417,186.5110419712432,94527488,17076224,170,16959744,0,0
streams,13,28.731223953000153,10000,12703.212302691238,3867.619434498841,1807.365963992197,140.22480597864174,90963968,13512704,181,18371097,0,0
streams,14,31.097175128001254,10000,16069.876838171202,4258.559927528312,1667.9093839920824,184.41997028843642,88608768,11157504,204,19786291,0,0
streams,15,33.20406423401437,10000,16909.404550931824,4796.114257287978,1468.1904520111857,188.03110376809718,90189824,12738560,223,21201136,0,0
streams,16,35.633135894007864,10000,10951.79713127917,4151.2231617199695,1456.7874419881264,123.13155279663309,90275840,12824576,239,22609352,0,0
streams,17,38.09155787300551,10000,17364.3420847264,4105.662106322629,1855.2002709911903,193.5381400078654,91881472,14430208,254,24024432,0,0
