phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
cpu_redis,1,26.297917080984917,10000,382.3273970106693,380.6049006108232,24849.96620399761,194.24607686313246,77029376,1032192,2337,60860467,0,0
cpu_redis,2,52.46596244099783,10000,384.3616120929848,382.47501794759154,24710.523500019917,195.23436240363955,77963264,1966080,4586,121721306,0,0
cpu_redis,3,78.17367545497837,10000,391.24699792060886,389.323909575227,24336.087550997036,197.23013569179926,78438400,2441216,6754,182581873,0,0
cpu_redis,4,104.58369925100124,10000,380.8065676077526,378.98620429261337,24962.765210017096,193.9225802344584,78909440,2912256,9001,243442136,0,0
cpu_redis,5,130.48804477599333,10000,388.1753870136247,386.378974858741,24488.735524995718,195.844814634089,79376384,3379200,11175,304302701,0,0
cpu_redis,6,157.08719006399042,10000,377.98535747270955,376.28300293178484,25144.77293199161,192.63554978251855,79970304,3973120,13340,365163257,0,0
cpu_redis,7,180.4496033899777,10000,430.7711383243793,428.4853855779413,21869.3370949768,206.3898965617131,80355328,4358144,14490,426024329,0,0
cpu_redis,8,203.00300925498595,10000,446.36827689815294,443.84620519289626,21189.95809799526,209.34716621592582,80195584,4198400,15472,486885264,0,0
cpu_redis,9,227.45397616300033,10000,411.5169354882449,409.3625561067005,22970.27755298768,200.11981357540094,80261120,4263936,16731,547745640,0,0
cpu_redis,10,253.23517119299504,10000,390.13679850728863,388.2210286302517,24412.13240599609,196.6816962511918,80891904,4894720,18775,608606070,0,0
cpu_redis,11,274.2660877269809,10000,479.1778887872807,476.1713841218659,19769.820243003778,214.23197810605004,81031168,5033984,19372,669466854,0,0
cpu_redis,12,296.39144558800035,10000,455.2542311253961,452.4956679692631,20791.25320201274,211.05265138370618,81162240,5165056,20132,730327455,0,0
cpu_redis,13,321.60356649698224,10000,399.0399561859165,396.9961531412681,23529.620353976497,198.85912513246956,80637952,4640768,21974,791188411,0,0
cpu_redis,14,343.7606754669978,10000,454.4879644627436,451.8001427914205,20767.598569975235,208.72654891074708,80723968,4726784,22820,852048881,0,0
cpu_redis,15,365.3533713929937,10000,466.7069167682029,463.6387703257372,20206.171636004,213.43339445042758,80736256,4739072,23638,912909684,0,0
cpu_redis,16,386.43219524697633,10000,477.9974543599304,475.00250751768937,19746.2009289884,214.17033635739767,81752064,5754880,24251,973770615,0,0
cpu_redis,17,407.21714583499124,10000,484.7814070612769,481.68710258769966,19552.385463000974,217.4867356065997,87719936,11722752,24778,1034631760,0,0
cpu_redis,18,432.8319706969778,10000,392.6317009923818,390.7717659532672,23912.142946996028,197.1812324109636,87777280,11780096,26611,1095492262,0,0
cpu_redis,19,460.02506711898604,10000,369.5229574139617,368.0504132278194,25857.10993700195,191.18579094621597,88604672,12607488,28666,1156352934,0,0
cpu_redis,20,482.75576751399785,10000,443.19033327631576,440.39859806109075,21297.393706976436,209.3631311850723,88608768,12611584,29614,1217213948,0,0
cpu_redis,21,507.15567676498904,10000,412.22943610989324,410.22819490412707,22879.29292602348,200.7901910717702,87076864,11079680,30742,1278074625,0,0
cpu_redis,22,530.2966089799884,10000,434.90451869088747,432.56464472702095,21665.502357995138,205.96354976438133,87056384,11059200,31767,1338935446,0,0
cpu_redis,23,555.8333746579883,10000,393.7619906652572,391.96015836984293,24099.14628500701,196.2101350475767,86974464,10977280,33172,1399795602,0,0
cpu_redis,24,578.1749752849864,10000,451.17280622008997,448.126349980166,20930.372343980707,209.1855587689574,86724608,10727424,33965,1460655997,0,0
cpu_redis,25,602.1149501289765,10000,420.0676256859817,418.12868988583847,22547.704191005323,205.1980487012459,85897216,9900032,35194,1521516571,0,0
cpu_redis,26,624.2140993319917,10000,456.963805458923,453.87175079585313,20588.74619801645,211.36070027358565,85897216,9900032,35937,1582377700,0,0
cpu_redis,27,647.4616456129879,10000,434.1733152169467,430.702617685082,21789.716074999887,207.4275506655856,85897216,9900032,36889,1643237752,0,0
cpu_redis,28,670.0404181899794,10000,445.9187146589921,443.3477795933906,21124.129447998712,210.12304566231887,85897216,9900032,37734,1704098424,0,0
cpu_redis,29,691.1577332619927,10000,477.32824898778335,474.1071118246673,19860.40241198498,212.76200428478793,87101440,11104256,38234,1764959960,0,0
cpu_redis,30,712.5105957119958,10000,471.76569949691424,468.9235880901745,19999.578412011033,214.3237573202419,88342528,12345344,38781,1825821599,0,0
cpu_redis,31,736.1283934289822,10000,426.1407772928344,423.8730269271155,22154.945949005196,205.43692891129396,87031808,11034624,40017,1886682571,0,0
cpu_redis,32,762.9171727009816,10000,375.309176401284,373.6307986887912,25352.956337999785,194.10081457152683,88014848,12017664,41989,1947543112,0,0
cpu_redis,33,785.9698993569764,10000,436.61562534704007,434.28823545566127,21641.240347991697,208.20534305900208,88018944,12021760,42905,2008403970,0,0
cpu_redis,34,808.5791442679765,10000,445.4318285862924,442.7785983407874,21215.837566007394,207.76370233238936,88014848,12017664,43699,2069265168,0,0
cpu_redis,35,830.2853550709842,10000,463.8236605597931,461.17190980899153,20395.276258001104,211.87483588097908,85766144,9768960,44465,2130126768,0,0
cpu_redis,36,853.1687285559892,10000,439.85886078982537,437.46941266593745,21431.86497699935,208.40791901473386,86114304,10117120,45380,2190987588,0,0
cpu_redis,37,877.2659777019871,10000,417.52736073453883,415.36675266900835,22670.47393199755,196.12842962807252,85467136,9469952,46364,2251848015,0,0
cpu_redis,38,902.3568037159857,10000,400.91273391849757,398.93124333236966,23575.64880300197,199.45729370924482,85004288,9007104,47846,2312708471,0,0
cpu_redis,39,925.4281290769868,10000,436.2403239842107,433.87068813471194,21291.636210982688,205.33415766298924,84353024,8355840,48872,2373569310,0,0
cpu_redis,40,950.4652736359858,10000,401.79376449868084,399.797177790113,23482.838305993937,200.65437737675072,84041728,8044544,50457,2434430021,0,0
cpu_redis,41,973.0638427989907,10000,445.4930074740709,442.96172445257224,21159.762394003337,209.85668388378636,83628032,7630848,51483,2495291059,0,0
cpu_redis,42,995.4706499149906,10000,449.3682712942388,446.7498751555928,20809.553461993346,205.67911884141233,83742720,7745536,52226,2556152032,0,0
cpu_redis,43,1018.5256077869853,10000,436.7229648217959,434.2111477651902,21561.418415018125,208.70772417772034,83873792,7876608,53217,2617012793,0,0
cpu_redis,44,1040.3108142749988,10000,462.69880301116007,459.55993008479106,20395.790045004105,211.12318125262877,84267008,8269824,53899,2677873558,0,0
cpu_redis,45,1061.814513366,10000,468.7734032631642,465.55334100057036,20190.011693019187,213.1175550885519,84267008,8269824,54562,2738734267,0,0
cpu_redis,46,1083.3045666379912,10000,468.99913734706143,465.8498812189114,20107.535577000817,213.70738130576225,84267008,8269824,55284,2799595374,0,0
cpu_redis,47,1104.8806946819823,10000,467.0625390976727,464.0091333146822,19894.449961022474,211.87860365781955,84267008,8269824,55966,2860455949,0,0
cpu_redis,48,1126.2403863589861,10000,471.9017272726318,468.6948511519229,20028.96130498266,213.51447417963567,84267008,8269824,56630,2921316400,0,0
cpu_redis,49,1147.7668169039825,10000,468.11798442271925,465.1368501035093,20156.217619020026,213.63054436965268,84332544,8335360,57293,2982177590,0,0
cpu_redis,50,1169.325883166981,10000,467.517961807249,464.3890348691616,20292.54844598472,211.7945635988502,84332544,8335360,57975,3043038430,0,0
cpu_redis,51,1191.9715888369828,10000,444.65926730076137,442.06388212686926,21329.873819981003,210.6091267658001,84332544,8335360,58838,3103899131,0,0
cpu_redis,52,1215.1668918769865,10000,434.020223019079,431.59220685743367,21809.429599001305,201.10028598679506,83681280,7684096,59716,3164759455,0,0
cpu_redis,53,1237.4682767199993,10000,451.8209302016348,448.9377870541988,20894.825199997285,209.99004971527384,83677184,7680000,60594,3225619953,0,0
cpu_redis,54,1259.4905479119916,10000,457.68529171113215,454.5955054484964,20622.77636199724,212.50855179175687,83677184,7680000,61442,3286480690,0,0
cpu_redis,55,1281.6050148310023,10000,455.64231458486364,452.674959596051,20737.166308012092,210.6752692223636,83681280,7684096,62290,3347341518,0,0
cpu_redis,56,1303.9864637079882,10000,450.224327917996,447.27303257826566,20988.66537201684,209.8013370069581,83677184,7680000,63138,3408202243,0,0
cpu_redis,57,1326.4853506529762,10000,447.93332998124055,444.93980437266566,21086.710672010668,208.78503197654587,83677184,7680000,63986,3469062529,0,0
cpu_redis,58,1348.8606404839957,10000,450.338735143703,447.4028016149002,20938.593208993552,209.50509078861415,83677184,7680000,64834,3529923250,0,0
cpu_redis,59,1370.8153080089833,10000,458.9424211483857,455.9580983093216,20551.133701985236,212.52244765347606,83677184,7680000,65653,3590783748,0,0
cpu_redis,60,1393.0007002819912,10000,454.1682785044097,451.24089726040074,20710.70942800725,211.17030750041522,83677184,7680000,66501,3651644661,0,0
cpu_redis,61,1415.0819747539936,10000,456.4700910307438,453.4274978864262,20712.611172988545,210.7541541133061,83681280,7684096,67269,3712505313,0,0
cpu_redis,62,1437.3364310069883,10000,452.3993264903159,449.8476342352741,20879.543435992673,210.1745403981956,83357696,7360512,68180,3773366098,0,0
cpu_redis,63,1459.8120726339985,10000,447.9301925692565,445.47786927230663,21103.28342599678,208.78134262215912,83161088,7163904,69091,3834226958,0,0
cpu_redis,64,1482.2313313419872,10000,449.03080688840873,446.5376249670807,21049.27394699189,209.00224646359305,82964480,6967296,70002,3895087746,0,0
cpu_redis,65,1504.4371845329879,10000,453.4339427089521,450.7838459386581,20752.5442650076,211.10905276243872,82767872,6770688,70913,3955948462,0,0
cpu_redis,66,1526.206347180996,10000,462.55718139930815,459.83851677777625,20379.675881005824,209.8543038903384,82767872,6770688,71595,4016808769,0,0
cpu_redis,67,1547.3975535979844,10000,475.62311866683024,472.4424875517635,19835.79821398598,214.80271330460528,82767872,6770688,72297,4077670355,0,0
cpu_redis,68,1568.9956867069995,10000,466.47408578527626,463.5218318578808,20184.26476197783,212.97580583044632,82759680,6762496,73089,4138531642,0,0
cpu_redis,69,1590.7503429509816,10000,463.3352068324818,460.176446873005,20398.959187004948,211.75077503083907,82825216,6828032,73883,4199392567,0,0
