phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
pubsub,1,2.760277876019245,10000,11122.537342962143,3652.933951827955,1844.513217016356,144.49143880584882,84611072,7036928,19,1198098,0,0
pubsub,2,5.653778491017874,10000,10189.368060380737,3484.3107431217572,1870.936665975023,133.3462462851803,87343104,9768960,29,2396087,0,0
pubsub,3,8.495398808998289,10000,10442.689806287726,3548.9757948202678,1827.9190419998486,136.7814579918279,85508096,7933952,40,3592924,0,0
pubsub,4,11.328204351011664,10000,10663.899717429318,3558.7417486011755,1867.0452139922418,139.75614628076812,87732224,10158080,51,4789443,0,0
pubsub,5,14.129906874994049,10000,10581.128854888739,3599.2075172743303,1841.9491629756521,138.92625044959607,88494080,10919936,62,5987304,0,0
pubsub,6,16.909537750005256,10000,10914.693274021713,3628.798293946973,1797.3846009990666,141.51364970337715,90873856,13299712,73,7183277,0,0
pubsub,7,19.696318508998957,10000,11012.059689687881,3621.1351434516246,1824.4944110047072,143.2574069204016,91164672,13590528,84,8381489,0,0
pubsub,8,22.618237151997164,10000,10724.147801484234,3458.4145070729433,1900.842853996437,137.80686175740684,91176960,13602816,95,9577322,0,0
pubsub,9,25.49794567900244,10000,10238.298852600909,3510.041886377238,1875.4802439943887,139.27690249065245,95191040,17616896,118,10772556,0,0
pubsub,10,28.36177442900953,10000,11141.85077150983,3523.691695434125,1938.848389982013,138.6587833542533,93097984,15523840,126,11968413,0,0
pubsub,11,31.219964276009705,10000,10448.90515254573,3543.7763642354957,1798.2833060086705,138.23305114209697,90640384,13066240,136,13165613,0,0
pubsub,12,34.04267776000779,10000,10958.367515731048,3572.201893173105,1852.0100259920582,142.87903570124658,99176448,21602304,149,14363219,0,0
pubsub,13,36.88109050699859,10000,10748.002239480935,3552.2793423019875,1857.4679300072603,142.4895352310799,106160128,28585984,159,15559996,0,0
pubsub,14,39.78267189802136,10000,10254.585403152561,3474.201274434448,1878.4422339813318,133.69925782438128,107282432,29708288,168,16758000,0,0
pubsub,15,42.55443921501865,10000,11493.341887505265,3645.2647538598476,1836.702716012951,146.2221079492799,107171840,29597696,178,17956326,0,0
pubsub,16,45.39305556801264,10000,10826.316671128703,3551.3841609520105,1850.2431560191326,140.8570624353501,105881600,28307456,187,19153202,0,0
pubsub,17,48.163998889009235,10000,10963.050076864527,3640.154050695241,1790.9268260118552,141.55963808195546,106561536,28987392,196,20350385,0,0
pubsub,18,51.083113594009774,10000,10173.197517719223,3453.4130175752834,1863.1538370100316,130.55714263802906,106049536,28475392,204,21545892,0,0
pubsub,19,54.503422617999604,10000,10609.17549405209,2944.2691291672704,2426.960876007797,138.7698684607934,104046592,26472448,213,22741370,0,0
pubsub,20,57.327683673007414,10000,10638.447387933376,3570.3461011588897,1840.4511859989725,139.1768764546827,105861120,28286976,223,23939741,0,0
pubsub,21,60.233306512003765,10000,10328.119875885499,3470.1456930383556,1877.2337830159813,133.23322438431063,106979328,29405184,232,25135945,0,0
