phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
streams,1,2.6751855560287368,10000,10569.077755226293,3786.026335373294,1701.1066309933085,141.80135019544352,82243584,3424256,15,1410669,0,0
streams,2,5.404455359006533,10000,10646.366765233419,3696.16203552451,1749.7227489948273,139.2068425698264,84561920,5742592,27,2821686,0,0
streams,3,8.174266061017988,10000,10039.405288375847,3642.622159272072,1753.329418017529,134.07579721913277,90677248,11857920,40,4231101,0,0
streams,4,10.856314204022055,10000,10419.649866727375,3762.456299635919,1693.7961310031824,136.40270009559103,93470720,14651392,52,5640673,0,0
streams,5,13.576648707006825,10000,10526.928944248744,3708.635382449052,1736.2330839969218,138.50761503127762,92463104,13643776,63,7051545,0,0
streams,6,16.345346039015567,10000,9889.605870041007,3644.205860015792,1758.4334459970705,131.36426434406437,90677248,11857920,77,8461445,0,0
streams,7,19.07445046902285,10000,10084.706675273823,3697.21600157184,1758.7706170161255,134.539358463525,86417408,7598080,91,9870796,0,0
streams,8,21.771320290019503,10000,10596.838800181686,3746.723308753155,1741.733547009062,138.4579382258329,90083328,11264000,103,11281356,0,0
streams,9,24.46943636602373,10000,10996.261766969334,3740.897338551043,1747.4577670218423,142.84710760632117,92569600,13750272,114,12691217,0,0
streams,10,27.24491388601018,10000,9976.554229734062,3634.9057087446095,1724.2666420061141,130.76783910306452,94380032,15560704,125,14101315,0,0
streams,11,29.967181720014196,10000,10367.62431521142,3707.289679865124,1731.314423988806,134.4743204877068,94466048,15646720,136,15511730,0,0
streams,12,32.61468279300607,10000,10921.339989978334,3813.9563707659863,1717.117074993439,143.09514759212928,90370048,11550720,149,16923254,0,0
streams,13,35.42465125300805,10000,10025.348059838696,3589.776237009164,1759.297387994593,130.78646811205329,87666688,8847360,164,18332999,0,0
streams,14,38.15609193601995,10000,10221.72038981465,3693.6880333019494,1772.3166280193254,132.11412693513006,92884992,14065664,176,19742852,0,0
streams,15,40.8817450790084,10000,10571.535074354751,3701.0958567501634,1740.3257609985303,137.96781769958585,88813568,9994240,192,21152571,0,0
streams,16,43.64561907402822,10000,10323.664856493555,3653.772477741831,1739.1605930170044,136.41399665639938,86020096,7200768,210,22561839,0,0
streams,17,46.361672131024534,10000,10393.718635240532,3714.1988741970376,1721.3501149963122,133.62851608723508,89513984,10694656,226,23973068,0,0
streams,18,49.330041783017805,10000,10899.507004575087,3395.1476169394095,1994.7524989838712,141.58890837937687,85860352,7041024,244,25383023,0,0
streams,19,52.06902470701607,10000,10479.592262646122,3685.1550327195505,1788.448025006801,135.68319337065878,88006656,9187328,257,26792629,0,0
streams,20,54.82443132001208,10000,10002.222123512049,3661.286646961123,1698.3989760046825,132.12870520740032,90972160,12152832,270,28201906,0,0
streams,21,57.52347971001291,10000,10836.31798034566,3742.6410138415313,1726.438103010878,141.9807462896417,92794880,13975552,285,29612928,0,0
