phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
synthetic,1,0.44478771000285633,10000,32147.271019833242,23801.333316622582,298.8612299959641,181.66455964996914,63258624,3399680,8,660524,0,0
synthetic,2,0.8749865680001676,10000,34984.067396730934,24647.08225022528,267.9023660020903,206.33389652732984,64864256,5005312,16,1321047,0,0
synthetic,3,1.3375775949971285,10000,35268.250417343595,22895.793677450925,267.3542909906246,175.8400394620069,66867200,7008256,23,1981511,0,0
synthetic,4,1.7573928899946623,10000,41432.24269206615,25293.62567116476,228.57589198974892,216.2229777557267,68194304,8335360,30,2641975,0,0
synthetic,5,2.2140901749953628,10000,37059.35335296204,23066.499415639086,253.75437701586634,181.85894992152618,68689920,8830976,36,3302439,0,0
synthetic,6,2.636086376995081,10000,36284.35267984901,25159.20195738424,259.73403800162487,209.4581272015248,70057984,10199040,43,3962903,0,0
synthetic,7,3.0883031809935346,10000,34667.34165584497,23438.03283072372,279.6911729965359,198.57075183772557,72818688,12959744,50,4623367,0,0
synthetic,8,3.589539306005463,10000,31561.480646374104,20964.543510725645,323.0631429760251,143.4121569920829,76300288,16441344,56,5283831,0,0
synthetic,9,4.009928615996614,10000,35346.02594793763,25129.7341384594,271.3939720124472,206.9748740714142,78376960,18518016,61,5944295,0,0
synthetic,10,4.48538635901059,10000,30616.796239323543,22115.717106071734,312.83537900890224,167.2910634572583,78970880,19111936,67,6604759,0,0
synthetic,11,4.939444141986314,10000,35282.26633319364,23354.53018595957,268.52867600973696,203.22322025801398,80138240,20279296,74,7265224,0,0
synthetic,12,5.417681196995545,10000,32854.52128843371,22366.237582235353,267.7005440054927,178.76178840339193,82305024,22446080,80,7925689,0,0
synthetic,13,5.861972260987386,10000,34813.75119903371,23860.02594079967,277.81719202175736,197.57203049550415,85823488,25964544,85,8586154,0,0
synthetic,14,6.313897054991685,10000,34602.34456150106,23548.555966338692,274.71101700211875,198.46367216091764,86888448,27029504,91,9246619,0,0
synthetic,15,6.7695476280059665,10000,34110.15458520505,23281.63247048838,283.9228409866337,191.431675514942,87035904,27176960,96,9907084,0,0
synthetic,16,7.18773082800908,10000,38570.79453887947,25559.515101322453,241.65970101603307,207.14645890949188,87040000,27181056,101,10567549,0,0
synthetic,17,7.622617943998193,10000,34369.02570703956,24336.778316096774,256.84732099762186,171.2278993268081,86933504,27074560,105,11228014,0,0
synthetic,18,8.016953904996626,10000,41126.7778037295,27044.383234743425,228.1749930116348,200.22205293028637,85336064,25477120,108,11888479,0,0
synthetic,19,8.459225811006036,10000,33508.559645737536,23876.81623829785,284.2468679882586,193.62696348854234,87502848,27643904,112,12548944,0,0
synthetic,20,8.884617501986213,10000,37265.447179894065,24965.48272341774,255.71836999733932,205.45294409015975,90132480,30273536,117,13209409,0,0
synthetic,21,9.324982641002862,10000,33949.152054148726,23981.464573169076,275.8067140239291,198.35627440471814,90202112,30343168,121,13869874,0,0
synthetic,22,9.825823752005817,10000,29843.52021727224,20946.873591976146,328.52703498792835,146.1101427531271,90267648,30408704,125,14530339,0,0
synthetic,23,10.24843572799,10000,35015.700236754725,25023.285041714407,268.2221900031436,202.10276739482808,90857472,30998528,129,15190804,0,0
synthetic,24,10.696288231993094,10000,34167.98149536097,23677.338023332428,282.1535690163728,200.03283952574554,91119616,31260672,134,15851269,0,0
synthetic,25,11.12976604999858,10000,34571.69071762477,24479.376596552323,272.4037009757012,199.66576227089544,92696576,32837632,138,16511734,0,0
synthetic,26,11.575754858989967,10000,33246.66006391356,23652.405554138877,288.78851400804706,188.91282100337173,93220864,33361920,142,17172199,0,0
synthetic,27,12.060928249993594,10000,31339.29976681512,21824.002796839155,301.66572297457606,163.64212066098935,95436800,35577856,147,17832664,0,0
synthetic,28,12.51182763100951,10000,33957.49068774646,23390.83997201889,281.4855420147069,200.39917063632356,95440896,35581952,151,18493129,0,0
synthetic,29,12.98370515400893,10000,31713.309147892927,22406.723364716006,306.0668830003124,174.16893441745532,95641600,35782656,155,19153594,0,0
synthetic,30,13.411598181002773,10000,34576.30230398523,24782.097153968272,248.43835300998762,204.9443915280154,95703040,35844096,159,19814059,0,0
synthetic,31,13.867022644000826,10000,31695.732831740792,23225.53746645949,291.9970660004765,179.88471266747402,98340864,38481920,163,20474524,0,0
synthetic,32,14.277086991001852,10000,40075.97009431128,25984.362688389392,233.32416397170164,214.42050586854822,99254272,39395328,166,21134989,0,0
synthetic,33,14.673916334984824,10000,39427.999400728404,26770.208192190148,239.7950719750952,198.027079282278,96043008,36184064,169,21795454,0,0
synthetic,34,15.09305729798507,10000,36026.66443028711,25454.19764018038,244.24825399182737,180.49566501240895,95916032,36057088,172,22455919,0,0
synthetic,35,15.471372984990012,10000,43265.561727026114,28155.028728718546,220.2369180158712,215.42981416260588,92360704,32501760,174,23116384,0,0
synthetic,36,15.837892946990905,10000,42515.555092856746,29180.85684400521,218.7811349867843,222.49176985532233,90062848,30203904,177,23776849,0,0
synthetic,37,16.27217395498883,10000,34975.05470477899,24343.51012237186,271.3567159953527,161.95485736596225,88141824,28282880,180,24437314,0,0
synthetic,38,16.69718441198347,10000,35016.16137884617,24991.5450475427,274.26108601503074,189.17706023693935,89890816,30031872,184,25097779,0,0
synthetic,39,17.1524782780034,10000,32756.8983999296,23706.949147504696,294.68221400748007,173.7363512170638,90152960,30294016,189,25758244,0,0
synthetic,40,17.587710758991307,10000,35784.3599271517,24272.67205272926,279.2766730126459,196.55936636373755,90808320,30949376,193,26418709,0,0
synthetic,41,18.016962674999377,10000,35301.42421370169,24717.99755665237,271.6837729967665,201.66216898505516,90808320,30949376,198,27079174,0,0
synthetic,42,18.48880673100939,10000,30596.903358917356,22382.543355576847,308.53763699997216,169.01347413127496,91471872,31612928,202,27739639,0,0
synthetic,43,18.924612459988566,10000,35016.08412785805,24350.528131464227,262.86788200377487,206.41573130750922,93827072,33968128,207,28400104,0,0
synthetic,44,19.384303319005994,10000,32010.923357997293,23025.45350105647,269.8337110050488,178.0806642905666,96190464,36331520,211,29060569,0,0
synthetic,45,19.82513461698545,10000,34601.64498356989,24056.922391842116,266.278731985949,206.57498452632868,99700736,39841792,215,29721034,0,0
