phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
pgoutput_redis,1,10.268603775999509,10000,10717.313144634232,976.9269797196298,9080.550023005344,139.18516632424308,96784384,15183872,13,2470810,0,0
pgoutput_redis,2,24.177165870991303,10000,11402.625880784033,720.2275861618126,12718.25240700855,143.78514540372225,104243200,22642688,25,4942881,0,0
pgoutput_redis,3,47.79126560900477,10000,10368.460808656682,423.92876252368467,22446.270560991252,138.1259682284888,105172992,23572480,35,7414500,0,0
pgoutput_redis,4,70.20021855700179,10000,10844.492632568978,446.7890260742625,21321.869481005706,135.18243098954633,108232704,26632192,48,9887235,0,0
pgoutput_redis,5,94.17686720899655,10000,10699.807113622257,417.490101476469,22809.738778014435,144.0750777347157,119197696,37597184,59,12359822,0,0
pgoutput_redis,6,117.91677355000866,10000,11050.716636319497,421.65887166629506,22642.640726990066,139.04177112095965,121294848,39694336,69,14832631,0,0
pgoutput_redis,7,130.2047568949929,10000,11262.145757959672,815.5452922144783,10760.279461013852,143.21356391229762,123924480,42323968,81,17304449,0,0
pgoutput_redis,8,154.16581711900653,10000,10876.08854156283,417.7632724539835,22755.079995986307,138.4402341694871,128245760,46645248,92,19776756,0,0
pgoutput_redis,9,177.87659271500888,10000,11533.89679914999,422.22677228540067,22640.787383978022,143.6996657928789,128745472,47144960,102,22250783,0,0
pgoutput_redis,10,190.3218046349939,10000,10606.917453760461,805.1392885222954,11273.753337009111,138.19272055612413,131792896,50192384,111,24723971,0,0
pgoutput_redis,11,214.29106225800933,10000,11387.05216700131,417.67146386727705,22782.761915004812,143.72379304591232,132984832,51384320,121,27196911,0,0
pgoutput_redis,12,238.0275954969984,10000,11002.668673961687,421.79071604930135,22619.06632198952,140.6899217422619,134471680,52871168,131,29669807,0,0
pgoutput_redis,13,250.27903712700936,10000,11318.276953861749,817.8054701202759,11189.469128003111,141.38564956222933,136990720,55390208,138,32142761,0,0
pgoutput_redis,14,274.1906145369867,10000,11695.507226199234,418.62080808227154,22719.195180980023,143.3506124640305,134488064,52887552,145,34614270,0,0
pgoutput_redis,15,298.090670865,10000,9602.187765436796,418.83430393987237,22672.249488998204,128.37292311859423,139526144,57925632,155,37086808,0,0
pgoutput_redis,16,310.33734150699456,10000,10907.29016687709,818.1575083408686,11110.918007005239,135.71294886795476,143175680,61575168,162,39560010,0,0
