phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
pubsub,1,2.882471193006495,10000,10437.780731543702,3504.020317206099,1882.4567190022208,140.42692281081256,83165184,6496256,21,1197476,0,0
pubsub,2,5.711033789993962,10000,10643.430055233923,3573.837510205139,1804.522263002582,139.22743528591917,84049920,7380992,34,2395097,0,0
pubsub,3,8.488297719013644,10000,11023.330797002485,3630.575371737536,1809.1651939903386,141.13840252098154,91389952,14721024,45,3592864,0,0
pubsub,4,11.217211497016251,10000,11471.793686195091,3695.8626395745787,1790.9936040232424,145.4943502453382,93720576,17051648,54,4790678,0,0
pubsub,5,13.963628258003155,10000,11187.918546250006,3673.888648187936,1765.0320760149043,146.28507463780846,90882048,14213120,62,5988815,0,0
pubsub,6,17.141939911991358,10000,10152.814704908384,3171.6591489486336,2160.4004639957566,133.28784442788935,97349632,20680704,74,7184620,0,0
pubsub,7,19.95735894300742,10000,10791.904444255328,3582.3578565087155,1834.9050249962602,141.3697974374574,96980992,20312064,85,8381125,0,0
pubsub,8,22.794726908003213,10000,10821.917935907115,3559.5159280510984,1904.16628998355,140.3931274003358,99799040,23130112,99,9578102,0,0
pubsub,9,25.57571293399087,10000,11183.426914897713,3628.707538464261,1818.526469025528,142.5328857397897,102494208,25825280,108,10775830,0,0
pubsub,10,28.441705088014714,10000,10466.228674837945,3518.533283122439,1802.8990399907343,133.1665784698077,100061184,23392256,115,11971779,0,0
pubsub,11,31.309701215999667,10000,9633.047205655983,3515.138133595685,1749.196890013991,126.75745965768385,95813632,19144704,122,13166466,0,0
pubsub,12,34.12268580100499,10000,10421.152191259222,3585.474962830924,1855.5055749893654,135.9944421807047,97972224,21303296,137,14364122,0,0
pubsub,13,36.935136809013784,10000,10994.674623967248,3586.6540832824066,1841.0815319803078,142.1813144875887,105582592,28913664,147,15561763,0,0
pubsub,14,39.65426887499052,10000,11960.838201521941,3712.03066284093,1820.7791809982155,151.53784689029303,105336832,28667904,156,16759771,0,0
pubsub,15,42.41910597801325,10000,10870.258066668943,3648.4916817646063,1758.9883910259232,136.1294074953707,106532864,29863936,162,17956761,0,0
pubsub,16,45.18129529399448,10000,11065.52176370095,3650.7728198229825,1794.5182179973926,137.79588943525832,105238528,28569600,168,19153216,0,0
pubsub,17,47.948740974010434,10000,11428.47286964405,3644.567421146957,1823.451133997878,143.54490458582535,103895040,27226112,175,20351474,0,0
pubsub,18,50.76796096400358,10000,10558.928094810855,3576.7230540511405,1798.88319701422,133.7968209667998,100945920,24276992,183,21548494,0,0
pubsub,19,53.520233115996234,10000,11164.695296933976,3667.012717988417,1836.9820690131746,146.2801099757008,99045376,22376448,193,22746676,0,0
pubsub,20,56.38663883000845,10000,10647.331419405427,3517.40558448129,1865.8180439961143,139.30670229339015,102621184,25952256,204,23943161,0,0
pubsub,21,59.352803532994585,10000,9694.247890657993,3398.9585938399755,1908.392534009181,126.63633216395638,104194048,27525120,215,25138540,0,0
pubsub,22,62.2161489680002,10000,11102.1909322371,3522.492532631852,1919.2988710128702,146.69993452702846,104787968,28119040,226,26335855,0,0
pubsub,23,65.10802591100219,10000,10043.320930807742,3486.963685679562,1826.8554949900135,133.48070711646173,105848832,29179904,237,27533253,0,0
pubsub,24,67.88229398999829,10000,10500.080134450061,3635.378506961626,1768.0159719893709,137.25932172988672,107233280,30564352,248,28730769,0,0
pubsub,25,70.67945339999278,10000,10843.131254424132,3604.8558330840247,1849.7155260120053,140.82590645152246,107376640,30707712,256,29928230,0,0
pubsub,26,73.49895043901051,10000,10501.004389598733,3576.6825085251576,1806.1456859868485,137.08032814756203,107577344,30908416,269,31124866,0,0
pubsub,27,76.52019980200566,10000,11203.151548832633,3335.4348663149617,2074.465333018452,140.76645817009782,109350912,32681984,278,32320104,0,0
pubsub,28,79.27310676599154,10000,11667.444350426214,3664.299978257033,1815.1771429984365,147.67135831106563,105791488,29122560,285,33519226,0,0
pubsub,29,82.08612269800506,10000,10881.630153718066,3586.0994528426872,1818.3646360121202,135.49179977806463,102645760,25976832,293,34716133,0,0
pubsub,30,84.89580886799376,10000,10642.081596655831,3589.745615075893,1804.0742709999904,139.3478687150793,100290560,23621632,302,35914372,0,0
