phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
streams,1,2.7566090269829147,10000,10168.290102193403,3661.926733257367,1720.5524719902314,131.5409173839555,82952192,2367488,12,1410940,0,0
streams,2,5.517749413993442,10000,10118.730471354342,3653.116128178025,1768.9287629909813,132.91327828430764,90292224,9707520,27,2821494,0,0
streams,3,8.589568708994193,10000,10957.264926759737,3280.125711117545,2111.305163009092,142.22911560300608,91078656,10493952,39,4231973,0,0
streams,4,11.319612481980585,10000,10111.144388734978,3694.351836485849,1714.2556610051543,133.24361263352225,87408640,6823936,52,5641681,0,0
streams,5,14.05280597199453,10000,10150.127480397874,3691.309925547995,1732.8318060026504,136.9287577405031,84131840,3547136,70,7051517,0,0
streams,6,16.813298583001597,10000,10444.667351251186,3670.293751014124,1793.7745510134846,141.18201517329035,88547328,7962624,84,8462891,0,0
streams,7,19.612626283982536,10000,9859.250464306428,3609.398268170069,1773.4029429848306,130.02579359334229,91160576,10575872,96,9872626,0,0
streams,8,22.318456556997262,10000,10959.702672740492,3729.219794842473,1758.0975049932022,141.8504308532322,93986816,13402112,107,11283087,0,0
streams,9,25.107786843000213,10000,11027.647758896797,3614.716830993001,1849.3166459957138,142.53090574962593,96206848,15622144,118,12693439,0,0
streams,10,27.83621830798802,10000,10154.460442218999,3696.6022624157263,1685.0914130045567,131.385019247454,96858112,16273408,127,14103215,0,0
streams,11,30.554058365989476,10000,10253.222051423452,3712.0604454061277,1708.229426003527,132.17271077505694,94674944,14090240,139,15513306,0,0
streams,12,33.280244042980485,10000,10296.929603742416,3701.684891155167,1684.986662992742,133.55694210845465,100073472,19488768,149,16923645,0,0
streams,13,35.9878102359944,10000,10582.551658449853,3725.684949586406,1725.5752449855208,136.81606353742046,99328000,18743296,160,18333263,0,0
streams,14,38.71592081498238,10000,10137.792490223796,3697.697336692704,1683.7782669754233,133.30738247605055,96763904,16179200,170,19741419,0,0
streams,15,41.419546871999046,10000,10701.745939700122,3731.5031144080417,1746.4253839862067,138.07984867424912,98537472,17952768,181,21151514,0,0
