phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
synthetic,1,0.48405044301762246,10000,29007.532204156734,21763.451518396763,317.8278819832485,176.78390892008704,60162048,3596288,11,660524,0,0
synthetic,2,0.9712110090185888,10000,31502.23127964517,21577.930628214464,297.720839997055,180.70846452633208,64032768,7467008,20,1321047,0,0
synthetic,3,1.4002612010226585,10000,40654.12139820528,24723.797050821402,233.13996399519965,218.52486837528656,68304896,11739136,27,1981511,0,0
synthetic,4,1.8554052680265158,10000,32547.42519471191,23163.428987962354,278.7447469891049,185.18181411412013,70787072,14221312,33,2641975,0,0
synthetic,5,2.283883689000504,10000,37691.1766231089,24860.814739477468,250.24875000235625,214.16956856180315,71311360,14745600,41,3302439,0,0
synthetic,6,2.746429770020768,10000,32085.703840062626,22785.049450764058,292.68206300912425,180.86869982620192,72183808,15618048,47,3962903,0,0
synthetic,7,3.224116215016693,10000,31042.614862302315,21980.652651358134,316.32751601864584,158.7549711673829,73732096,17166336,54,4623367,0,0
synthetic,8,3.7076509860053193,10000,32041.171624064118,21748.790585993633,299.62416598573327,176.876619221596,74719232,18153472,61,5283831,0,0
synthetic,9,4.17214289601543,10000,31741.18179271616,22668.098686633366,301.5808660129551,168.75948709399685,76038144,19472384,67,5944295,0,0
synthetic,10,4.624138944025617,10000,36471.97869779823,23451.86940033489,266.03836100548506,198.67291526759863,76967936,20402176,74,6604759,0,0
synthetic,11,5.081060262018582,10000,34335.48307887568,23037.110131841993,286.27046901965514,182.36633111101918,79290368,22724608,80,7265224,0,0
synthetic,12,5.5035464750253595,10000,42146.86077815663,25187.81730411652,225.45788399293087,222.50873203733065,79613952,23048192,86,7925689,0,0
synthetic,13,5.9423593600222375,10000,32608.675626000022,24071.881700894486,292.231710976921,183.82248580357668,80867328,24301568,91,8586154,0,0
synthetic,14,6.396607124013826,10000,32634.98884777101,23179.061128300375,299.5108639879618,182.03759836479318,81723392,25157632,96,9246619,0,0
synthetic,15,6.871103804005543,10000,33104.90397778815,22172.05174776135,287.86205701180734,181.02001042139725,82018304,25452544,102,9907084,0,0
synthetic,16,7.335740455018822,10000,34351.950183169545,22639.682932964108,275.3511629998684,193.69320041443433,81936384,25370624,108,10567549,0,0
synthetic,17,7.791630151012214,10000,33427.878068893864,23154.6919747837,286.639441997977,196.41078488125999,82399232,25833472,114,11228014,0,0
synthetic,18,8.258080833009444,10000,32331.50417380949,22626.463552896155,298.588754987577,175.91163332724076,84275200,27709440,119,11888479,0,0
synthetic,19,8.697335261007538,10000,35327.60663794472,24117.64952147511,268.6081270221621,204.99340281178746,84684800,28119040,124,12548944,0,0
