phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
pgoutput_redis,1,14.58117316199997,10000,13548.235040125628,686.8435620923324,13693.36038900002,159.6046985127465,94457856,13312000,14,2467446,0,0
pgoutput_redis,2,29.485432996999975,10000,16288.149907218778,672.005964481943,14037.65535499997,176.04158666979262,102113280,20967424,27,4935788,0,0
pgoutput_redis,3,32.74201365599998,10000,17406.335611648017,3089.104570142543,2424.8669859999836,193.60395303313155,103550976,22405120,38,7403429,0,0
pgoutput_redis,4,45.487037998999995,10000,6143.108601091121,785.9157556448862,10910.287227000026,78.40536641424998,108224512,27078656,48,9860165,0,0
pgoutput_redis,5,61.19566502599997,10000,4470.847175506472,638.1174558579327,12925.522424999997,65.12077696556781,109285376,28139520,59,12314876,0,0
pgoutput_redis,6,75.03806573899999,10000,9877.222928653928,723.6531858717364,12506.122415999982,107.62706086984804,114401280,33255424,70,14775143,0,0
pgoutput_redis,7,90.18642946699998,10000,8194.80041667257,661.1566037950928,13705.864194000014,92.74218888362266,116531200,35385344,80,17232692,0,0
pgoutput_redis,8,106.23428887,10000,4374.866874715053,625.5167760796422,13864.573604000043,54.306492539691654,116084736,34938880,89,19683401,0,0
pgoutput_redis,9,112.948346791,10000,3283.180963536836,1494.7450062954981,4684.284466999998,45.956959322360156,114200576,33054720,99,22133656,0,0
pgoutput_redis,10,124.76523519999995,10000,13235.128906258555,847.6746775961752,10583.71197100007,148.21691280938902,120037376,38891520,109,24596911,0,0
pgoutput_redis,11,149.60108611000004,10000,11596.453847552075,402.998392573692,23442.95613199995,147.4200738858063,123572224,42426368,119,27061654,0,0
pgoutput_redis,12,164.89058498900005,10000,9916.178326451452,655.0533402388719,13835.47481200003,120.97862869016318,121683968,40538112,128,29525862,0,0
pgoutput_redis,13,184.48322102799995,10000,18385.464140232874,510.944052420217,18815.280465,193.00530385339957,122933248,41787392,138,31995051,0,0
pgoutput_redis,14,207.456305634,10000,18909.020394257124,435.6754793521558,22118.389454000066,204.98695839187948,129814528,48668672,149,34464545,0,0
