phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
streams,1,2.0127562720008427,10000,17211.65522696391,5014.019464158535,1406.475263000175,191.2518961980426,82722816,2461696,13,1414134,0,0
streams,2,4.111672204002389,10000,15615.527425845306,4837.076985283063,1406.704984998214,173.40599709806796,86523904,6262784,27,2828561,0,0
streams,3,6.5422728690027725,10000,10601.654112010905,4161.588403444621,1452.395387001161,121.78810765630668,91545600,11284480,41,4236438,0,0
streams,4,8.820346347005398,10000,16067.037722522391,4426.3813559381415,1592.773591997684,184.0621915498179,87523328,7262208,55,5651287,0,0
streams,5,10.894488509002258,10000,17042.51188465866,4863.872736310643,1452.356335001241,188.87915274815043,91430912,11169792,67,7065807,0,0
streams,6,12.876644945004955,10000,17294.258144481082,5115.293720267048,1370.5598659944371,192.5056233348604,93401088,13139968,81,8481083,0,0
streams,7,15.418076633002784,10000,10864.355711585295,3975.9305023819343,1566.0181210041628,126.10220974643454,90939392,10678272,91,9890972,0,0
streams,8,17.527406168999732,10000,16693.88967077506,4792.504761032544,1438.3878070002538,185.9259694103142,94912512,14651392,103,11305931,0,0
streams,9,19.57215456400445,10000,15254.541528344838,4936.478999987101,1360.6005069959792,174.46582199468426,89747456,9486336,117,12721031,0,0
streams,10,22.179044814001827,10000,8125.487414457099,3871.4830748004156,1598.398410998925,104.2459433839335,93478912,13217792,130,14128364,0,0
streams,11,24.39027174000512,10000,15682.118932927195,4570.07734109411,1502.2980570065556,185.56007315754493,94838784,14577664,145,15542727,0,0
streams,12,26.32177903700358,10000,17678.65489553582,5224.581359571757,1326.8042390045593,193.68849603736285,94597120,14336000,158,16958132,0,0
streams,13,28.41246106300241,10000,16189.710116497377,4838.502233649817,1422.251049996703,182.47043238810969,94453760,14192640,172,18372960,0,0
streams,14,30.94749414800026,10000,10280.081287599043,3977.935097305552,1626.1002500032191,120.84004457345306,89120768,8859648,186,19781505,0,0
streams,15,33.00217767600407,10000,17121.908800540696,4917.037099754754,1410.6454709981335,188.55846148474703,91729920,11468800,200,21196510,0,0
streams,16,35.08012185300322,10000,16850.47956119754,4852.598263683753,1434.5685829975992,185.1147566515656,89440256,9179136,211,22611629,0,0
streams,17,37.319665871000325,10000,12200.762304082125,4506.2364561896575,1380.691175996617,136.71894023046636,93425664,13164544,224,24022520,0,0
streams,18,39.878041219002625,10000,10672.957279215008,3935.6946628646283,1612.2341139998753,127.75894184617043,93847552,13586432,240,25432445,0,0
streams,19,41.9114058510022,10000,15513.785525780324,4961.3720718092545,1381.9333020001068,170.66380995208797,96440320,16179200,253,26845854,0,0
streams,20,43.8677688490061,10000,17637.765059752423,5165.248430452307,1350.7144780014642,195.27016079592093,94511104,14249984,264,28260592,0,0
streams,21,46.419509712002764,10000,11232.050328601554,3951.689740933742,1656.8956060000346,130.01374485170086,86671360,6410240,277,29670324,0,0
streams,22,48.63561398300226,10000,14613.871120929625,4562.3632401532905,1451.2262749994989,170.88105072307997,93650944,13389824,296,31084329,0,0
streams,23,50.617636726005,10000,17320.832417366255,5090.8638844047555,1356.746359000681,191.41309288349262,95473664,15212544,312,32499296,0,0
streams,24,52.97283386900381,10000,11439.045737901746,4293.903154070045,1466.922424006043,126.5622824385849,94150656,13889536,330,33907530,0,0
streams,25,55.20079612600239,10000,15639.082187101616,4524.815678518457,1552.9858270019758,168.07916552803638,94162944,13901824,344,35322565,0,0
streams,26,57.23528913600603,10000,15574.299644018738,4975.815491642622,1355.2454200034845,177.34531490029767,91709440,11448320,359,36737959,0,0
streams,27,59.287210202004644,10000,17026.60480718806,4915.623620411212,1399.5091629985836,186.66885443699456,94216192,13955072,377,38152805,0,0
streams,28,61.67821308600105,10000,12504.448707650601,4219.412163287286,1584.3646680004895,140.06169137219902,92737536,12476416,392,39563772,0,0
streams,29,63.95757389299979,10000,14606.778753050747,4425.924568311817,1558.3553820033558,173.36729276009578,88150016,7888896,410,40978086,0,0
